countrySource,countryTarget,value,type,year,month
South Korea,Singapore,1253.913678,export,2011,1
Japan,Singapore,2038.293692,export,2011,1
India,Singapore,1065.517758,export,2011,1
Singapore,Singapore,0.0,export,2011,1
Indonesia,Singapore,1256.39015,export,2011,1
United States,Indonesia,509.95887,export,2011,1
Canada,Indonesia,140.136027,export,2011,1
Brazil,Indonesia,106.303732,export,2011,1
United Kingdom,Indonesia,41.147624,export,2011,1
Netherlands,Indonesia,42.207233,export,2011,1
France,Indonesia,71.373222,export,2011,1
Germany,Indonesia,198.902838,export,2011,1
Italy,Indonesia,73.01213299999999,export,2011,1
Russia,Indonesia,29.271071000000003,export,2011,1
China,Indonesia,2424.78224,export,2011,1
South Korea,Indonesia,976.589431,export,2011,1
Japan,Indonesia,1143.565865,export,2011,1
India,Indonesia,504.67520700000006,export,2011,1
Singapore,Indonesia,3423.248699,export,2011,1
Indonesia,Indonesia,0.0,export,2011,1
United States,United States,0.0,export,2011,10
Canada,United States,28085.193275,export,2011,10
Brazil,United States,1998.745317,export,2011,10
United Kingdom,United States,5013.435107,export,2011,10
Netherlands,United States,2052.273529,export,2011,10
France,United States,3013.806282,export,2011,10
Germany,United States,8818.248173,export,2011,10
Italy,United States,2706.744829,export,2011,10
Russia,United States,1515.333642,export,2011,10
China,United States,28621.589197,export,2011,10
South Korea,United States,4636.6914560000005,export,2011,10
Japan,United States,11816.045082,export,2011,10
India,United States,2840.1486440000003,export,2011,10
Singapore,United States,1806.234365,export,2011,10
Indonesia,United States,1443.61886,export,2011,10
United States,Canada,24578.940925,export,2011,10
Canada,Canada,0.0,export,2011,10
Brazil,Canada,231.429656,export,2011,10
United Kingdom,Canada,719.531708,export,2011,10
Netherlands,Canada,229.568757,export,2011,10
France,Canada,334.729371,export,2011,10
Germany,Canada,876.8735320000001,export,2011,10
Italy,Canada,321.58407,export,2011,10
Russia,Canada,64.128173,export,2011,10
China,Canada,2015.949838,export,2011,10
South Korea,Canada,497.159926,export,2011,10
Japan,Canada,825.0239799999999,export,2011,10
India,Canada,168.678023,export,2011,10
Singapore,Canada,127.765009,export,2011,10
Indonesia,Canada,72.747015,export,2011,10
United States,Brazil,3941.519479,export,2011,10
Canada,Brazil,238.411575,export,2011,10
Brazil,Brazil,0.0,export,2011,10
United Kingdom,Brazil,327.494988,export,2011,10
Netherlands,Brazil,304.216115,export,2011,10
France,Brazil,464.530811,export,2011,10
Germany,Brazil,1238.640085,export,2011,10
Italy,Brazil,551.576904,export,2011,10
Russia,Brazil,239.91964500000003,export,2011,10
China,Brazil,2636.578988,export,2011,10
South Korea,Brazil,689.503096,export,2011,10
Japan,Brazil,590.071185,export,2011,10
India,Brazil,484.562621,export,2011,10
Singapore,Brazil,123.47326499999998,export,2011,10
Indonesia,Brazil,129.175633,export,2011,10
United States,United Kingdom,4507.520943,export,2011,10
Canada,United Kingdom,1222.603987,export,2011,10
Brazil,United Kingdom,540.158149,export,2011,10
United Kingdom,United Kingdom,0.0,export,2011,10
Netherlands,United Kingdom,4157.9272280000005,export,2011,10
France,United Kingdom,3280.039575,export,2011,10
Germany,United Kingdom,7704.449409000001,export,2011,10
Italy,United Kingdom,2012.448567,export,2011,10
